Layer,row y,col x,flux
0,60,20,0
0,136,23,0
0,181,28,0
0,150,29,0
0,129,29,0
0,111,30,-88
0,111,32,-88
0,40,33,0
0,116,35,0
0,116,35,-8816
0,110,35,-1924
0,110,36,-5771
0,111,37,-39
0,154,40,0
0,155,40,0
0,155,41,0
0,30,43,-481
0,27,45,-310
0,158,46,0
0,61,46,0
0,61,46,0
0,62,47,0
0,153,47,-105
0,160,48,-31722
0,160,48,-16284
0,59,51,-49609
0,59,51,0
0,59,54,-28069
0,61,55,-22495
0,32,69,0
0,181,71,-6
0,78,73,0
0,122,74,0
0,52,75,0
0,51,75,0
0,121,76,0
0,23,76,-791
0,58,76,-112242
0,58,76,-112242
0,58,76,0
0,129,79,0
0,129,79,0
0,129,79,0
0,129,79,0
0,129,79,0
0,49,79,0
0,30,82,0
0,58,84,-43486
0,174,85,-62
0,59,87,0
0,183,88,0
0,58,88,-53236
0,58,88,-1692
0,60,88,-924
0,60,88,-1420
0,123,88,0
0,83,95,-11
0,83,95,0
0,114,97,0
0,114,97,0
0,113,98,0
0,116,105,-15
0,8,109,0
0,102,111,-59204
0,102,112,-59204
0,104,112,-59204
0,100,114,0
0,100,114,0
0,99,114,0
0,99,114,0
0,200,116,0
0,83,117,0
0,106,117,0
0,106,118,-109951
0,49,118,0
0,108,119,0
0,106,119,-109951
0,109,119,-109951
0,106,119,0
0,188,120,0
0,189,120,0
0,189,120,0
0,188,120,-8851
0,41,124,0
0,4,124,0
0,87,125,0
0,87,125,0
0,17,125,0
0,10,126,0
0,11,126,0
0,11,126,0
0,10,127,0
0,30,127,0
0,30,127,0
0,42,128,0
0,18,129,-363
0,11,129,0
0,17,130,-363
0,59,130,0
0,113,130,0
0,92,131,-11324
0,153,131,-252
0,10,131,0
0,10,131,0
0,10,131,0
0,81,132,-806
0,81,132,-2120
0,38,134,0
0,33,134,-23167
0,117,134,0
0,117,134,0
0,117,134,0
0,83,134,-175
0,95,135,-1164
0,26,136,-91810
0,17,139,-105
0,19,139,-1397
0,55,139,-9878
0,130,140,-2560
0,130,141,-2259
0,130,141,-583
0,54,141,-15179
0,18,143,-59556
0,162,145,-1377
0,132,146,-40868
0,132,146,0
0,2,147,-74658
0,154,148,-1046
0,133,148,-1963
0,81,149,-616
0,23,150,-41402
0,142,150,-1102
0,82,150,0
0,82,150,0
0,142,150,-650
0,135,150,0
0,8,151,-55309
0,43,151,-75089
0,17,152,-2793
0,17,152,-14
0,111,154,-1925
0,132,156,0
0,62,157,-1242
0,134,159,0
0,46,161,-35514
0,132,161,-12288
0,121,161,-217
0,186,162,0
0,51,163,0
0,50,164,0
0,92,164,-28290
0,92,164,-27458
0,202,166,-14839
0,27,167,0
0,42,169,0
0,66,169,-7653
0,60,169,-102200
0,60,169,-53056
0,109,170,-510
0,70,171,0
0,40,172,-39736
0,141,172,-1185
0,88,173,0
0,55,173,0
0,55,173,0
0,55,173,0
0,195,175,-13241
0,191,175,0
0,19,176,-26632
0,19,177,0
0,59,177,-44
0,188,178,-14132
0,12,178,0
0,176,179,0
0,176,179,-17
0,139,179,0
0,140,179,-12492
0,62,179,-55588
0,53,180,0
0,131,180,-1224
0,116,180,-58594
0,141,180,-18651
0,141,180,0
0,142,180,0
0,142,180,-1352
0,80,181,0
0,116,181,-74383
0,30,182,0
0,30,182,0
0,67,182,0
0,37,182,0
0,44,182,-8162
0,139,183,-40509
0,121,183,0
0,76,183,0
0,120,184,0
0,75,184,0
0,76,184,0
0,76,184,0
0,76,184,0
0,126,185,0
0,126,185,-65
0,37,185,-67
0,37,185,0
0,65,186,0
0,134,186,-1721
0,134,186,-2072
0,134,187,-655
0,180,187,0
0,45,188,0
0,17,189,0
0,4,189,-84773
0,2,190,-39744
0,5,190,-7379
0,46,190,-151
0,177,192,-2942
0,26,193,-46830
0,115,193,0
0,106,193,-22101
0,106,193,-43063
0,102,193,0
0,32,194,-68105
0,178,194,0
0,98,195,-81
0,45,196,0
0,29,197,0
0,37,198,-51262
0,143,198,0
0,116,199,-478
0,32,200,0
0,174,200,-3638
0,170,200,0
0,170,200,0
0,170,200,-33846
0,170,200,-33846
0,32,200,-12523
0,94,201,0
0,95,201,0
0,95,201,-133
0,152,201,0
0,152,201,0
0,99,203,0
0,77,203,0
0,173,203,0
0,173,203,0
0,173,203,0
0,173,203,0
0,136,204,-567
0,124,204,-11335
0,32,204,-35400
0,173,204,0
0,137,205,0
0,33,205,-26739
0,71,205,-27458
0,150,205,-241
0,69,206,-3880
0,69,206,-1940
0,72,206,-51
0,114,206,0
0,173,206,0
0,173,206,0
0,173,206,0
0,104,207,-160
0,94,209,0
0,169,209,0
0,153,209,-738
0,103,209,0
0,103,209,0
0,103,209,0
0,140,210,-21317
0,98,210,0
0,101,210,0
0,102,210,0
0,102,210,0
0,96,211,0
0,97,211,0
0,81,211,-4763
0,82,211,-3468
0,99,211,0
0,86,212,0
0,86,212,0
0,101,214,0
0,127,214,-148
0,127,214,-458
0,104,214,0
0,101,216,0
0,101,216,0
0,76,216,-13570
0,76,216,-12129
0,77,216,0
0,78,216,0
0,78,216,0
0,195,217,0
0,105,218,0
0,105,218,0
0,125,219,0
0,152,219,-30960
0,152,219,-364
0,111,221,-5916
0,111,221,-5916
0,182,221,0
0,166,222,-1
0,169,222,-3791
0,170,222,0
0,170,222,0
0,170,222,0
0,76,222,0
0,74,223,0
0,171,223,0
0,149,224,0
0,115,224,-89
0,185,224,0
0,170,224,0
0,165,225,-177
0,165,225,-20872
0,103,225,-10045
0,79,225,0
0,97,118,0
