layer,row,column,Reach,Stage,Conductanc,Bottom,,,,
1,32,224,400,742.560000,17426.600000,739.560000,,,,
1,31,224,400,742.560000,26564.840000,739.560000,,,,
1,30,224,400,742.560000,28924.620000,739.560000,,,,
1,29,224,400,742.560000,24510.230000,739.560000,,,,
1,28,224,400,742.560000,19437.670000,739.560000,,,,
1,33,225,400,742.560000,23191.900000,739.560000,,,,
1,32,225,400,742.560000,26833.360000,739.560000,,,,
1,31,225,400,742.560000,21882.460000,739.560000,,,,
1,30,225,400,741.000000,29943.760000,738.000000,,,,
1,29,225,400,740.000000,29943.760000,737.000000,,,,
1,28,225,400,742.000000,28086.000000,739.000000,,,,
1,27,225,400,742.560000,25961.550000,739.560000,,,,
1,26,225,400,742.190000,27640.470000,739.190000,,,,
1,25,225,400,742.660000,27416.260000,739.660000,,,,
1,24,225,400,744.000000,29137.340000,741.000000,,,,
1,195,225,400,764.950000,177.000000,763.950000,,,,
1,194,225,400,764.570000,983.040000,763.570000,,,,
1,193,225,400,764.560000,556.750000,763.560000,,,,
1,94,140,461,848.340000,17702.630000,845.340000,,,,
1,98,148,461,820.740000,20644.920000,817.740000,,,,
1,100,149,461,819.000000,17354.920000,816.000000,,,,
1,103,161,461,809.030000,19590.750000,806.030000,,,,
1,104,148,461,810.000000,489.220000,809.000000,,,,
1,99,148,461,820.000000,231.960000,819.000000,,,,
1,103,149,461,810.000000,182.060000,809.000000,,,,
1,109,168,461,778.000000,696.420000,777.000000,,,,
1,109,169,461,778.000000,762.190000,777.000000,,,,
1,108,147,461,804.570000,601.210000,803.570000,,,,
1,107,147,461,806.340000,532.220000,805.340000,,,,
1,106,147,461,806.380000,224.220000,805.380000,,,,
1,109,148,461,800.390000,538.890000,799.390000,,,,
1,108,148,461,804.570000,97.660000,803.570000,,,,
1,106,148,461,806.380000,362.970000,805.380000,,,,
1,105,148,461,807.830000,529.460000,806.830000,,,,
1,103,148,461,812.030000,314.830000,811.030000,,,,
1,102,148,461,812.880000,515.210000,811.880000,,,,
1,101,148,461,813.590000,499.720000,812.590000,,,,
1,100,148,461,816.260000,381.590000,815.260000,,,,
1,109,149,461,800.390000,147.720000,799.390000,,,,
1,99,149,461,820.740000,86.850000,819.740000,,,,
1,98,149,461,820.740000,283.400000,819.740000,,,,
1,97,149,461,820.740000,179.990000,819.740000,,,,
1,97,150,461,820.740000,136.220000,819.740000,,,,
1,96,150,461,820.740000,314.980000,819.740000,,,,
1,95,150,461,820.740000,69.600000,819.740000,,,,
1,111,151,461,797.280000,490.520000,796.280000,,,,
1,111,152,461,796.030000,493.280000,795.030000,,,,
1,111,153,461,794.830000,495.660000,793.830000,,,,
1,111,154,461,794.650000,496.650000,793.650000,,,,
1,111,155,461,791.180000,542.490000,790.180000,,,,
1,111,156,461,789.960000,278.340000,788.960000,,,,
1,110,156,461,789.960000,282.550000,788.960000,,,,
1,110,157,461,789.960000,512.600000,788.960000,,,,
1,110,158,461,788.760000,548.320000,787.760000,,,,
