row,column,layer,obhead
200,216,5,770
199,99,5,875
198,88,5,876
198,88,5,876
198,87,5,873
198,87,5,873
197,165,3,887
197,211,9,767
194,113,5,863
191,61,9,851
191,61,5,856
185,207,2,805
183,68,5,871
183,68,5,864
183,100,5,875
180,65,9,862
179,121,5,854
178,175,3,821
178,175,3,818
174,54,5,850
171,186,2,844
171,186,2,840
171,55,7,849
170,218,5,740
168,32,2,804
167,133,3,857
167,187,3,832
167,187,3,837
166,55,9,846
164,110,5,847
164,110,2,844
164,117,2,846
163,188,3,838
161,93,2,834
161,133,3,857
158,32,7,796
157,81,2,829
157,81,2,828
157,94,5,832
156,117,9,844
155,25,2,786
154,26,9,784
154,29,2,789
154,29,9,788
154,223,2,731
153,144,3,888
153,195,2,824
153,195,2,811
152,28,9,786
152,28,2,789
148,35,5,791
148,68,9,815
148,107,5,844
148,31,7,792
147,15,2,779
147,15,2,779
145,135,9,865
145,76,2,817
144,72,2,814
144,62,2,811
144,72,2,815
143,34,2,789
143,37,2,791
141,23,2,783
140,139,5,894
140,108,9,852
140,34,2,788
139,190,2,840
139,135,5,894
139,123,9,864
138,185,2,851
137,137,5,893
136,160,9,827
135,62,7,806
133,47,5,756
131,199,9,747
127,66,9,823
125,146,3,911
125,181,5,762
125,147,9,860
124,36,7,845
124,129,5,869
120,206,2,733
119,37,7,877
115,205,2,734
114,76,2,837
113,134,3,885
113,158,5,799
113,134,9,870
110,217,5,741
110,74,2,844
110,98,5,850
110,125,3,873
108,163,2,783
108,143,2,828
108,201,2,736
108,86,2,850
108,135,3,898
106,101,9,860
105,138,3,871
104,164,9,786
102,19,9,831
102,107,9,861
101,97,2,864
101,97,9,864
99,124,3,865
99,127,3,869
99,209,5,743
97,155,5,821
97,137,5,869
97,138,9,867
95,120,5,865
94,78,5,860
94,32,7,838
94,84,7,856
94,44,7,853
94,44,5,857
94,96,5,868
94,12,7,835
93,121,2,865
93,120,2,864
92,141,9,865
92,159,2,847
92,131,5,867
91,95,5,869
91,149,2,827
88,55,5,967
85,56,7,856
85,29,2,851
85,135,2,866
84,72,5,875
84,130,2,866
82,111,5,864
82,121,2,866
82,21,7,854
82,157,2,842
81,126,2,867
80,42,2,874
80,131,2,867
79,82,5,880
78,34,2,865
78,113,5,861
76,55,5,881
76,148,5,847
75,100,5,873
72,75,9,912
71,130,2,860
70,72,5,926
70,116,5,858
69,116,2,857
68,107,5,864
68,47,5,904
68,117,5,857
68,15,7,867
67,88,9,899
64,216,5,739
64,216,2,740
64,146,5,836
63,45,5,903
62,36,2,893
62,86,5,916
60,171,2,854
59,192,5,825
58,193,5,823
57,14,7,879
56,129,9,852
55,138,2,858
55,57,2,945
55,46,7,911
55,71,5,907
54,70,2,956
54,104,5,902
53,214,2,797
52,154,2,818
51,114,5,870
51,113,5,867
50,138,2,861
49,79,2,914
49,88,7,922
48,78,2,938
47,15,9,860
47,68,2,966
47,16,7,869
46,22,7,872
46,186,5,800
46,221,2,741
46,221,5,738
44,137,2,872
43,119,5,878
42,135,2,866
42,29,7,885
40,129,5,872
39,129,5,870
39,195,5,774
38,192,5,777
35,212,9,766
35,71,9,963
34,27,2,888
34,34,5,894
34,151,5,859
33,79,9,930
33,162,2,850
33,79,5,930
32,182,5,775
32,146,2,886
32,182,2,771
31,121,5,894
31,109,5,902
30,137,2,871
29,9,7,920
28,211,9,768
28,194,2,796
27,7,7,915
27,146,2,885
24,85,5,932
24,130,5,877
24,28,9,898
23,99,5,927
21,101,9,926
20,110,5,920
20,180,5,788
19,28,7,902
19,184,5,802
17,134,5,876
17,174,2,795
17,144,2,876
13,88,5,930
13,41,2,925
13,83,5,952
12,144,2,874
12,205,5,836
12,133,2,877
11,107,5,924
11,219,2,816
11,117,5,885
11,208,5,836
9,156,5,858
8,140,2,869
7,208,2,889
7,135,2,870
6,57,5,945
6,193,2,822
6,132,5,871
6,102,5,925
6,213,2,860
5,42,2,935
5,85,5,1030
